1; 2526; 2048; 1984; 896; 7454
2; 5222; 4608; 3840; 2752; 16422
3; 10989; 10624; 7744; 6528; 35885
4; 21495; 21632; 14464; 12992; 70583
5; 37910; 39168; 24768; 22912; 124758
6; 61725; 64768; 39424; 37056; 202973
7; 94404; 99968; 59200; 56192; 309764
8; 137408; 146304; 84864; 81088; 449664
9; 191967; 205312; 117184; 112512; 626975
10; 259542; 278528; 156928; 151232; 846230
11; 4562176; 367488; 204864; 198016; 5332544
12; 7005078; 473728; 261760; 253632; 7994198
13; 8901536; 598784; 328384; 318848; 10147552
14; 11112168; 744192; 405504; 394432; 12656296
15; 13660182; 911488; 493888; 481152; 15546710
16; 16577793; 1102208; 594304; 579776; 18854081
17; 19878245; 1317888; 707520; 691072; 22594725
18; 23598543; 1560064; 834304; 815808; 26808719
19; 27736775; 1830272; 975424; 954752; 31497223
20; 32356079; 2130048; 1131648; 1108672; 36726447
21; 37459953; 2460928; 1303744; 1278336; 42502961
22; 43049725; 2824448; 1492480; 1464512; 48831165
23; 49182553; 3222144; 1698624; 1667968; 55771289
24; 55885695; 3655552; 1922944; 1889472; 63353663
25; 63150239; 4126208; 2166208; 2129792; 71572447
26; 71029753; 4635648; 2429184; 2389696; 80484281
27; 79549155; 5185408; 2712640; 2669952; 90117155
28; 88683013; 5777024; 3017344; 2971328; 100448709
29; 98552855; 6412032; 3344064; 3294592; 111603543
30; 109089999; 7091968; 3693568; 3640512; 123516047
31; 120363373; 7818368; 4066624; 4009856; 136258221
32; 132359762; 8592768; 4464000; 4403392; 149819922
33; 145164390; 9416704; 4886464; 4821888; 164289446
34; 158773352; 10291712; 5334784; 5266112; 179665960
35; 173170376; 11219328; 5809728; 5736832; 195936264
36; 188443080; 12201088; 6312064; 6234816; 213191048
37; 204570142; 13238528; 6842560; 6760832; 231412062
38; 221611850; 14333184; 7401984; 7315648; 250662666
39; 239592042; 15486592; 7991104; 7900032; 270969770
40; 258485776; 16700288; 8610688; 8514752; 292311504
41; 278340860; 17975808; 9261504; 9160576; 314738748
42; 299190942; 19314688; 9944320; 9838272; 338288222
43; 321020500; 20718464; 10659904; 10548608; 362947476
44; 343991862; 22188672; 11409024; 11292352; 388881910
45; 367963116; 23726848; 12192448; 12070272; 415952684
46; 392991100; 25334528; 13010944; 12883136; 444219708
47; 419191502; 27013248; 13865280; 13731712; 473801742
48; 446504400; 28764544; 14756224; 14616768; 504641936
49; 474982992; 30589952; 15684544; 15539072; 536796560
50; 504630066; 32491008; 16651008; 16499392; 570271474
51; 535524930; 34469248; 17656384; 17498496; 605149058
52; 567596182; 36526208; 18701440; 18537152; 641360982
53; 600926760; 38663424; 19786944; 19616128; 678993256
54; 635579772; 40882432; 20913664; 20736192; 718112060
55; 671646106; 43184768; 22082368; 21898112; 758811354
56; 708940590; 45571968; 23293824; 23102656; 800909038
57; 747627792; 48045568; 24548800; 24350592; 844572752
58; 787575400; 50607104; 25848064; 25642688; 889673256
59; 829030352; 53258112; 27192384; 26979712; 936460560
60; 872064756; 56000128; 28582528; 28362432; 985009844
61; 916224900; 58834688; 30019264; 29791616; 1034870468
62; 961886822; 61763328; 31503360; 31268032; 1086421542
63; 1009269660; 64787584; 33035584; 32792448; 1139885276
64; 1058155459; 67908992; 34616704; 34365632; 1195046787
65; 1108416453; 71129088; 36247488; 35988352; 1251781381
66; 1160431017; 74449408; 37928704; 37661376; 1310470505
67; 1213959729; 77871488; 39661120; 39385472; 1370877809
68; 1269126217; 81396864; 41445504; 41161408; 1433129993
69; 1325933439; 85027072; 43282624; 42989952; 1497233087
