1; 2526; 2048; 1984; 896; 7454
2; 5222; 4608; 3840; 2752; 16422
3; 10989; 10624; 7744; 6528; 35885
4; 21495; 21632; 14464; 12992; 70583
5; 37910; 39168; 24768; 22912; 124758
6; 61725; 64768; 39424; 37056; 202973
7; 94404; 99968; 59200; 56192; 309764
8; 137408; 146304; 84864; 81088; 449664
9; 191967; 205312; 117184; 112512; 626975
10; 259542; 278528; 156928; 151232; 846230
11; 341597; 367488; 204864; 198016; 1111965
12; 439446; 473728; 261760; 253632; 1428566
13; 554613; 598784; 328384; 318848; 1800629
14; 688412; 744192; 405504; 394432; 2232540
15; 842307; 911488; 493888; 481152; 2728835
16; 1017729; 1102208; 594304; 579776; 3294017
17; 1215968; 1317888; 707520; 691072; 3932448
18; 1438455; 1560064; 834304; 815808; 4648631
19; 1686654; 1830272; 975424; 954752; 5447102
20; 1961879; 2130048; 1131648; 1108672; 6332247
21; 2265654; 2460928; 1303744; 1278336; 7308662
22; 3941535; 2824448; 1492480; 1464512; 9722975
23; 4804927; 3222144; 1698624; 1667968; 11393663
24; 6101799; 3655552; 1922944; 1889472; 13569767
25; 7554314; 4126208; 2166208; 2129792; 15976522
26; 9149857; 4635648; 2429184; 2389696; 18604385
27; 11440386; 5185408; 2712640; 2669952; 22008386
28; 12267737; 5777024; 3017344; 2971328; 24033433
29; 14435426; 6412032; 3344064; 3294592; 27486114
30; 14234499; 7091968; 3693568; 3640512; 28660547
31; 16330628; 7818368; 4066624; 4009856; 32225476
32; 18846546; 8592768; 4464000; 4403392; 36306706
33; 19907115; 9416704; 4886464; 4821888; 39032171
34; 25676272; 10291712; 5334784; 5266112; 46568880
35; 25754156; 11219328; 5809728; 5736832; 48520044
36; 29083824; 12201088; 6312064; 6234816; 53831792
37; 29650052; 13238528; 6842560; 6760832; 56491972
38; 29204360; 14333184; 7401984; 7315648; 58255176
39; 37381644; 15486592; 7991104; 7900032; 68759372
40; 37458456; 16700288; 8610688; 8514752; 71284184
41; 40583582; 17975808; 9261504; 9160576; 76981470
42; 43934346; 19314688; 9944320; 9838272; 83031626
43; 43467540; 20718464; 10659904; 10548608; 85394516
44; 49413402; 22188672; 11409024; 11292352; 94303450
45; 53295126; 23726848; 12192448; 12070272; 101284694
46; 57658368; 25334528; 13010944; 12883136; 108886976
47; 56304455; 27013248; 13865280; 13731712; 110914695
48; 67634112; 28764544; 14756224; 14616768; 125771648
49; 67685584; 30589952; 15684544; 15539072; 129499152
